location,Basilea,Basilea,Basilea
lat,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653
variable,Temperature,Temperature,Temperature
unit,°C,°C,°C
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected
resolution,daily,daily,daily
aggregation,Maximum,Minimum,Mean
timestamp,Basilea Temperature [2 m elevation corrected],Basilea Temperature [2 m elevation corrected],Basilea Temperature [2 m elevation corrected]
20230101T0000,17.230246,8.570246,12.037746
20230102T0000,14.500245,7.420245,10.156078
20230103T0000,9.970245,3.1502452,6.6402454
20230104T0000,10.860246,4.5002456,8.281495
20230105T0000,12.410245,7.7202454,10.683162
20230106T0000,10.500245,6.860245,8.703161
20230107T0000,11.090245,4.8302455,7.353996
20230108T0000,9.050245,4.150245,7.286913
20230109T0000,9.050245,4.8502455,6.472328
20230110T0000,7.520245,4.7802453,6.097328
20230111T0000,9.890245,7.440245,8.641078
20230112T0000,10.720245,7.380245,9.1973295
20230113T0000,10.510245,6.940245,8.983995
20230114T0000,11.300245,6.3202453,8.923579
20230115T0000,12.240245,4.2702456,7.3848286
20230116T0000,6.8302455,3.3902454,4.831496
20230117T0000,3.3702455,0.7902454,1.7931622
20230118T0000,2.2602453,-1.0097545,1.1656619
20230119T0000,1.8202454,-3.709755,-1.2468379
20230120T0000,1.9902455,-3.5997548,-1.1505878
20230121T0000,1.0702454,-4.519755,-1.3643379
20230122T0000,1.7402455,-0.72975457,0.48941207
20230123T0000,3.5302453,0.4802454,1.983579
20230124T0000,5.040245,2.5902452,3.6835787
20230125T0000,3.6002455,1.8802454,2.8664954
20230126T0000,1.4702454,-0.90975463,0.33732876
20230127T0000,1.4702454,-1.0897546,0.10649541
20230128T0000,2.9202452,-0.10975462,1.3781619
20230129T0000,2.5502453,-2.7297544,0.5256621
20230130T0000,3.2302456,-3.1397548,0.49816218
20230131T0000,5.150245,-0.4297546,2.9573288
20230201T0000,6.770245,2.9202452,4.9931617
20230202T0000,7.3902454,4.980245,6.0631623
20230203T0000,8.400246,5.270245,6.787746
20230204T0000,8.840245,2.0602455,6.110662
20230205T0000,5.5702453,0.35024542,3.1469119
20230206T0000,4.9902453,0.6702454,3.3064954
20230207T0000,4.8002453,-3.1597548,0.20191205
20230208T0000,3.1202455,-4.4497547,-1.3735045
20230209T0000,6.0302453,-6.119755,-1.1564213
20230210T0000,6.3702455,-5.789755,-0.73933786
20230211T0000,8.300245,-5.1097546,0.19316214
20230212T0000,10.200245,-3.1097546,2.3327456
20230213T0000,9.100245,-0.5897546,2.8694122
20230214T0000,9.260245,-1.1697546,2.1289957
20230215T0000,11.370245,-1.4397546,2.597329
20230216T0000,13.820246,-0.97975457,5.860245
20230217T0000,13.390245,7.7002454,10.747327
20230218T0000,15.0602455,10.190246,12.053996
20230219T0000,11.240245,6.920245,9.566911
20230220T0000,15.650246,2.3002453,7.982746
20230221T0000,16.640245,0.5402454,7.0435786
20230222T0000,13.230246,1.7502455,7.7302456
20230223T0000,13.830245,4.5702453,9.440661
20230224T0000,13.380245,3.7902455,8.398162
20230225T0000,7.3302455,1.7502455,4.8444123
20230226T0000,1.9202454,-1.0497546,0.8031621
20230227T0000,2.8602452,-0.2697546,1.2077454
20230228T0000,2.8302455,-1.4297546,0.29816216
20230301T0000,4.980245,-1.8297547,1.4156619
20230302T0000,6.3202453,0.7402454,2.814412
20230303T0000,8.380245,0.00024539232,3.766079
20230304T0000,8.210245,-0.5497546,3.2194118
20230305T0000,6.8902454,0.19024539,3.168162
20230306T0000,6.1202455,-0.03975457,3.1352453
20230307T0000,7.190245,0.7802454,4.0352454
20230308T0000,12.870245,1.7202454,8.258162
20230309T0000,15.900246,9.430245,12.215245
20230310T0000,11.220245,5.0302453,8.998161
